route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color,route_sort_order
106-247,1,106,"Uptown Belt","Via Pearl Street, Second Ave, Whitehall Rd, Allen Street, Livingston Ave and Lark Drive (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=106,008000,FFFFFF,12
107-247,1,107,"Albany Glenmont","Between Albany and Glenmont via Pearl St, Mt. Hope and 9w (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=107,008000,FFFFFF,13
114-247,1,114,"Madison Ave - Western Ave","Between Crossgates Mall, UAlbany, Downtown Albany, and Rensselaer Rail Station (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=114,008000,FFFFFF,14
117-247,1,117,"Colonie Crosstown","Between Crossgates Mall, Colonie Center and Albany Internation Airport (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=117,008000,FFFFFF,15
125-247,1,125,"Clinton Ave - Sand Creek Rd.","Clinton Ave, Sand Creek Rd., Colonie Center and Downtown Albany (weekdays and Saturdays)",3,https://www.cdta.org/schedules-route-detail?route_id=125,008000,FFFFFF,16
155-247,1,155,"Suburban Circulator","From Crossgates Mall to Albany International Airport via Route 155 (weekends only)",3,https://www.cdta.org/schedules-route-detail?route_id=155,008000,FFFFFF,17
182-247,1,182,"Troy - Albany via Cohoes and Latham","Troy/Albany via Cohoes/Latham, from Downtown Troy, Watervliet, Green Island, Cohoes and Latham Farms, Latham Shoppes to Albany (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=182,008000,FFFFFF,18
214-247,1,214,"Rensselaer 3rd Street","Rensselaer 3rd Street/Amtrak, via Downtown Albany (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=214,008000,FFFFFF,19
224-247,1,224,"Albany - Troy via I-90","Between Downtown Albany, via Route 4 and Downtown Troy (weekdays only)",3,https://www.cdta.org/schedules-route-detail?route_id=224,008000,FFFFFF,20
233-247,1,233,"Albany - Schodack","Between Downtown Albany and Schodak Park & Ride (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=233,008000,FFFFFF,21
286-247,1,286,"Troy / Wynantskill","Troy/Wynantskill via RPI Campus, between Downtown Troy and Wynantskill (weekdays and Saturdays)",3,https://www.cdta.org/schedules-route-detail?route_id=286,008000,FFFFFF,22
289-247,1,289,"Griswold Heights - St. Mary's Hospital","Griswold Heights, Downtown Troy and St. Mary's Hospital (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=289,008000,FFFFFF,23
351-247,1,351,"Van Vranken Ave - Broadway","Yates Village, Union College and Department of Social Services, Rotterdam Industrial Park (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=351,008000,FFFFFF,24
353-247,1,353,"Scotia-Mt.Pleasant","Scotia/Mt. Pleasant, between Glenville Walmart, Hamilton Hill and Altamont Avenue (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=353,008000,FFFFFF,25
355-247,1,355,"Schenectady Wolf Road","Schenectady/Colonie, between Downtown Schenectady and Colonie Center (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=355,008000,FFFFFF,26
370-247,1,370,"Troy/Schenectady","Troy/Schenectady, between Downtown Troy, Latham Farms, Downtown Schenectady and Rivers Casino (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=370,008000,FFFFFF,27
402-247,1,402,"Bay/College","Between Ridge Street Terminal and SUNY Adirondack",3,https://www.cdta.org/schedules-route-detail?route_id=402,008000,FFFFFF,28
404-247,1,404,"Hudson Falls / Fort Edward","Between Ridge Street Terminal and Fort Edward Amtrak Station (weekday & Saturdays)",3,https://www.cdta.org/schedules-route-detail?route_id=404,008000,FFFFFF,29
405-247,1,405,"Moreau / S. Glens Falls","Between Ridge Street Terminal, South Glens Falls, and Moreau (Saturdays only)",3,https://www.cdta.org/schedules-route-detail?route_id=405,008000,FFFFFF,30
407-247,1,407,"West Glens Falls","Between Ridge Street Terminal and West Glens Falls (weekdays and Saturday)",3,https://www.cdta.org/schedules-route-detail?route_id=407,008000,FFFFFF,31
411-247,1,411,"Glen St / Walmart","Between Ridge St. Terminal and Route 9 Walmart (weekdays & Saturdays)",3,https://www.cdta.org/schedules-route-detail?route_id=411,008000,FFFFFF,32
412-247,1,412,"Glen St / Aviation Mall","Between Ridge St. Terminal, Aviation Mall, and Montcalm Apts (weekdays & Saturday)",3,https://www.cdta.org/schedules-route-detail?route_id=412,008000,FFFFFF,33
419-247,1,419,"Route 9 / Lake George","Between Ridge Street Terminal and Lake George Village (no summer service)",3,https://www.cdta.org/schedules-route-detail?route_id=419,008000,FFFFFF,34
450-247,1,450,"Schenectady - Wilton via Route 50","Route 50, between Downtown Schenectady, Saratoga (High Rock/Milton), and Wilton (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=450,008000,FFFFFF,35
452-247,1,452,"Skidmore College/Downtown Saratoga","Between Skidmore College and Downtown Saratoga Springs (Thu-Fri-Sat. Nights Only)",3,https://www.cdta.org/schedules-route-detail?route_id=452,008000,FFFFFF,36
519-247,1,519,"Delmar Bypass Express","Between Elm Ave Park & Ride and Downtown Albany (weekdays only)",3,https://www.cdta.org/schedules-route-detail?route_id=519,FFFB00,000000,37
524-247,1,524,"Broadway Menands Express","Broadway Menands Express, 80 Broadway Lot, via ESP Concourse, Swan & Washington Ave, State Capital (weekdays only)",3,https://www.cdta.org/schedules-route-detail?route_id=524,FFFB00,000000,38
540-247,1,540,"NX - Northway Express","Northway Express- Exits 8,9,12,15, Ballston Spa, Downtown Saratoga, South Glens Falls and Corporate Woods (weekdays only)",3,https://www.cdta.org/schedules-route-detail?route_id=540,FFD700,000000,39
560-247,1,560,"Thruway Express","Downtown Amsterdam, Exit 27, and Exit 26 via New York State Thruway to Downtown Albany (weekdays only)",3,https://www.cdta.org/schedules-route-detail?route_id=560,FFFB00,000000,40
600-247,1,600,"Neighborhood Belt","Via Perth Rd, Guy Park Ave/Division St, E. Main St, Church St, and Clizbe Ave (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=600,008000,FFFFFF,41
601-247,1,601,"S. Amsterdam & Route 30","Via Midline Rd, Wallins Corners Rd, Rt 30, Downtown Amsterdam, and Amsterdam South Side (weekdays and Saturdays)",3,https://www.cdta.org/schedules-route-detail?route_id=601,008000,FFFFFF,42
605-247,1,605,"Amsterdam to Schenectady via VIA/Port","Via Guy Park Ave/Division St. E. Main St, NY Route 5 via VIA/Port and Downtown Schenectady (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=605,008000,FFFFFF,43
712-247,1,712,"Harriman Campus - Patroon Creek","UAlbany Uptown Campus to Quail/WAMC Station (weekdays only)",3,https://www.cdta.org/schedules-route-detail?route_id=712,FABE04,000000,44
713-247,1,713,"Saratoga Springs - Glens Falls","Downtown Glens Falls to Saratoga Rail Station Via I87 (weekdays only)",3,https://www.cdta.org/schedules-route-detail?route_id=713,FABE04,000000,45
737-247,1,737,"Corporate Woods - Airport","British American Blvd., Corporate Woods via Albany International Airport (weekdays only)",3,https://www.cdta.org/schedules-route-detail?route_id=737,FABE04,000000,46
763-247,1,763,"Schenectady/Guilderland via Route 20","Between Schenectady and Guilderland via Carman Rd and Western Ave (weekdays only)",3,https://www.cdta.org/schedules-route-detail?route_id=763,FABE04,000000,47
801-247,1,801,"Albany Shuttle","Albany Shuttle (weekdays only-no summer service)",3,https://www.cdta.org/schedules-route-detail?route_id=801,663300,FFFFFF,48
802-247,1,802,"Troy Shuttle","Troy Shuttle (weekdays only-no summer service)",3,https://www.cdta.org/schedules-route-detail?route_id=802,663300,FFFFFF,49
803-247,1,803,"North Albany Shuttle","North Albany Shuttle (weekdays only-no summer service)",3,https://www.cdta.org/schedules-route-detail?route_id=803,663300,FFFFFF,50
804-247,1,804,"East-West Commuter","Between Ridge St and Main St. (Weekdays only-no summer service)",3,https://www.cdta.org/schedules-route-detail?route_id=804,663300,FFFFFF,51
805-247,1,805,"Mid Town Shuttle","Kiernan Plaza, Clinton Ave, New Scotland, Whitehall, 2nd and Delaware; Albany HS  (weekdays only-no summer service)",3,https://www.cdta.org/schedules-route-detail?route_id=805,663300,FFFFFF,52
806-247,1,806,"Delaware Shuttle","Mt. Hope via S.Pearl St via New Scotland Ave Hackett MS (weekdays only-no summer service)",3,https://www.cdta.org/schedules-route-detail?route_id=806,663300,FFFFFF,53
807-247,1,807,"Suburban Shuttle","Crossgates Mall, UAlbany, C.B.A. (school), via Central Ave to Downtown Albany (weekdays only-no summer service)",3,https://www.cdta.org/schedules-route-detail?route_id=807,663300,FFFFFF,54
808-247,1,808,"Albany - North Greenbush Shuttle","Stuyvesant Plaza, Downtown Albany via Rensselaer, LaSalle (school)  (weekdays only-no summer service)",3,https://www.cdta.org/schedules-route-detail?route_id=808,663300,FFFFFF,55
810-247,1,810,"Schenectady Shuttle","Between Schenectady neighborhoods and Schenectady High School (weekdays only-no summer service)",3,https://www.cdta.org/schedules-route-detail?route_id=810,663300,FFFFFF,56
811-247,1,811,"Guilderland Shuttle","Between Crossgates Mall and Guilderland Town Hall (Thursday Only)",3,https://www.cdta.org/schedules-route-detail?route_id=811,663300,FFFFFF,57
812-247,1,812,"Schenectady - Albany Shuttle","Between State Street Schenectady and Green Tech via I-890 and Thruway (weekdays only-no summer service)",3,https://www.cdta.org/schedules-route-detail?route_id=812,663300,FFFFFF,58
813-247,1,813,"Ravena Shopping Bus","Ravena Shopping Shuttle, between Ravena, Colonie Center and Crossgates Mall (Tuesdays only)",3,https://www.cdta.org/schedules-route-detail?route_id=813,663300,FFFFFF,59
815-247,1,815,"Troy Shopping Bus","Troy Shopping Shuttle, between Troy to Downtown Troy and Brunswick Walmart (Wednesdays only)",3,https://www.cdta.org/schedules-route-detail?route_id=815,663300,FFFFFF,60
821-247,1,821,"North Greenbush Shopping Bus","North Greenbush Shoppers Shuttle, between St Jude Snior Apartments and Walmart Rensselaer Plaza (Thursdays only)",3,https://www.cdta.org/schedules-route-detail?route_id=821,663300,FFFFFF,61
840-247,1,840,"Saratoga Stonequist Shopper Bus","Saratoga Springs Shoppers Shuttle, between Downtown Saratoga, Walmart and Wilton Mall (Tuesdays only)",3,https://www.cdta.org/schedules-route-detail?route_id=840,663300,FFFFFF,62
872-247,1,872,"Albany County Nature Bus","Nature Bus will run every Saturday, with service starting on May 24, 2025, and running through October 04, 2025, bringing Albany residents to some of the regions most scenic outdoor destinations.",3,https://www.cdta.org/schedules-route-detail?route_id=872,663300,FFFFFF,63
875-247,1,875,"Saratoga Summer Trolley","Saratoga Springs Summer Trolley (Wed-Sunday-summer only)",3,https://www.cdta.org/schedules-route-detail?route_id=875,008000,FFFFFF,64
876-247,1,876,"Glens Falls Summer Trolley","Lake George Summer Trolley between Glens Falls Ridge St. Terminal via Route 9 to downtown Lake Geroge  (7 days a week-summer only)",3,https://www.cdta.org/schedules-route-detail?route_id=876,A52A2A,FFFFFF,65
877-247,1,877,"Glens Falls Summer Trolley North","Lake George Summer Trolley between Lake George Beach St and Bolton Landing via Fran Cove and Hearthstone (7 days a week-summer only)",3,https://www.cdta.org/schedules-route-detail?route_id=877,A52A2A,FFFFFF,66
905-247,1,905,"BusPlus Red Line","BusPlus+ between Downtown Schenectady and Downtown Albany (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=905,d72c2a,FFFFFF,67
910-247,1,910,"BusPlus Purple Line","BusPlus+ between Crossgates Mall and Downtown Albany (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=910,67309F,FFFFFF,68
922-247,1,922,"BusPlus Blue Line Cohoes to Delaware Station","BusPlus+ between Second Ave in Albany and Van Shaick Island/Downtown Cohoes via Ontario and Remsen Street (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=922,0072ce,FFFFFF,69
923-247,1,923,"BusPlus Blue Line Waterford to Rail Trail Station","BusPlus+, between South Pearl Street in Albany, northern Lansingburgh and Waterford via 2nd Ave and Broad Street (7 days a week)",3,https://www.cdta.org/schedules-route-detail?route_id=923,0072ce,FFFFFF,70
